seed,ablation,h_rate,final_energy,mean_energy,max_energy,total_regret,oscillation_count,oscillation_index,c2_rejections,c2_rejection_rate,drift_detections,mean_detection_delay,mean_recovery_energy,lr_base
5,none,0.5,40.94703487706896,43.09756230304544,366.03370335629467,25874.326906706243,226,0.37666666666666665,0,0.0,0,50.0,53.82235125118114,0.5
6,none,0.5,1.9973105628766776,43.83267914913842,402.3272584157433,26302.29984888089,224,0.37333333333333335,0,0.0,0,50.0,37.331486787611816,0.5
7,none,0.5,88.65311336290551,35.19716379047226,253.9245507629717,21171.07219420931,238,0.39666666666666667,0,0.0,0,50.0,37.31340473516195,0.5
8,none,0.5,20.21180923764988,41.21932708305552,346.6393689198568,24741.634937255632,210,0.35,0,0.0,0,50.0,12.981385532600086,0.5
9,none,0.5,111.26527405402639,38.88814996539055,336.6068823205455,23300.064982325235,229,0.38166666666666665,0,0.0,0,50.0,57.21173038404189,0.5
10,none,0.5,3.5985946000577935,39.80629716027819,344.7398771310399,23872.939972653458,220,0.36666666666666664,0,0.0,0,50.0,33.1471930379614,0.5
11,none,0.5,0.9611524869269436,53.55310752384939,439.94381306199614,32112.725194973078,212,0.35333333333333333,0,0.0,0,50.0,10.856109754688426,0.5
12,none,0.5,66.94470881581854,37.86235816120899,388.1154096886812,22713.173408611736,226,0.37666666666666665,0,0.0,0,50.0,14.550672323787415,0.5
13,none,0.5,189.20873534701983,42.58326828445596,281.95670752691797,25557.63483287051,217,0.3616666666666667,0,0.0,0,50.0,33.95448598736529,0.5
14,none,0.5,26.725925114563328,47.93870451231195,595.9718371374768,28718.086903954623,222,0.37,0,0.0,0,50.0,8.283141552056103,0.5
15,none,0.5,21.180096460179765,36.478978822271664,291.1285643576996,21860.77629672266,241,0.40166666666666667,0,0.0,0,50.0,56.4446853931138,0.5
16,none,0.5,5.959489550771119,33.90784523929684,405.337012727335,20367.409256828465,238,0.39666666666666667,0,0.0,0,50.0,203.12367671390746,0.5
17,none,0.5,71.18766737490589,47.9724193798727,367.9469452323191,28797.14572242732,216,0.36,0,0.0,0,50.0,65.93048934345273,0.5
18,none,0.5,11.389872103716282,33.758270302752926,242.8680297082485,20277.51296244471,229,0.38166666666666665,0,0.0,0,50.0,18.721436129198786,0.5
19,none,0.5,20.611809974744418,39.29835435606611,483.5051788438642,23587.733264503728,216,0.36,0,0.0,0,50.0,78.94137255248002,0.5
0,C1_only,0.5,1.3514304480942485,45.26563697032879,402.3410548437998,27180.547517240768,206,0.3433333333333333,0,0.0,0,50.0,2.3072023373437522,0.5
1,C1_only,0.5,48.36156237662003,39.62312859074756,297.53027979985325,23740.378512686497,213,0.355,0,0.0,0,50.0,15.154444029285989,0.5
2,C1_only,0.5,234.61859380781834,55.45148613825365,595.229500827468,33251.79539114561,207,0.345,0,0.0,0,50.0,74.40360997618113,0.5
3,C1_only,0.5,11.53349225311502,47.08366272411561,273.3542358119596,28220.013134138004,241,0.40166666666666667,0,0.0,0,50.0,2.762503353492158,0.5
4,C1_only,0.5,3.6477144134640915,37.35067596953015,490.2820320993051,22389.421149543825,212,0.35333333333333333,0,0.0,0,50.0,46.90166513681419,0.5
5,C1_only,0.5,40.94703487706896,43.09756230304544,366.03370335629467,25874.326906706243,226,0.37666666666666665,0,0.0,4,50.0,53.82235125118114,0.5
6,C1_only,0.5,1.9973105628766776,43.83267914913842,402.3272584157433,26302.29984888089,224,0.37333333333333335,0,0.0,0,50.0,37.331486787611816,0.5
7,C1_only,0.5,88.65311336290551,35.19716379047226,253.9245507629717,21171.07219420931,238,0.39666666666666667,0,0.0,0,50.0,37.31340473516195,0.5
8,C1_only,0.5,20.21180923764988,41.21932708305552,346.6393689198568,24741.634937255632,210,0.35,0,0.0,0,50.0,12.981385532600086,0.5
9,C1_only,0.5,111.26527405402639,38.88814996539055,336.6068823205455,23300.064982325235,229,0.38166666666666665,0,0.0,0,50.0,57.21173038404189,0.5
10,C1_only,0.5,3.5985946000577935,39.80629716027819,344.7398771310399,23872.939972653458,220,0.36666666666666664,0,0.0,0,50.0,33.1471930379614,0.5
11,C1_only,0.5,0.9611524869269436,53.55310752384939,439.94381306199614,32112.725194973078,212,0.35333333333333333,0,0.0,0,50.0,10.856109754688426,0.5
12,C1_only,0.5,66.94470881581854,37.86235816120899,388.1154096886812,22713.173408611736,226,0.37666666666666665,0,0.0,0,50.0,14.550672323787415,0.5
13,C1_only,0.5,189.20873534701983,42.58326828445596,281.95670752691797,25557.63483287051,217,0.3616666666666667,0,0.0,0,50.0,33.95448598736529,0.5
14,C1_only,0.5,26.725925114563328,47.93870451231195,595.9718371374768,28718.086903954623,222,0.37,0,0.0,0,50.0,8.283141552056103,0.5
15,C1_only,0.5,21.180096460179765,36.478978822271664,291.1285643576996,21860.77629672266,241,0.40166666666666667,0,0.0,0,50.0,56.4446853931138,0.5
16,C1_only,0.5,5.959489550771119,33.90784523929684,405.337012727335,20367.409256828465,238,0.39666666666666667,0,0.0,0,50.0,203.12367671390746,0.5
17,C1_only,0.5,71.18766737490589,47.9724193798727,367.9469452323191,28797.14572242732,216,0.36,0,0.0,0,50.0,65.93048934345273,0.5
18,C1_only,0.5,11.389872103716282,33.758270302752926,242.8680297082485,20277.51296244471,229,0.38166666666666665,0,0.0,0,50.0,18.721436129198786,0.5
19,C1_only,0.5,20.611809974744418,39.29835435606611,483.5051788438642,23587.733264503728,216,0.36,0,0.0,0,50.0,78.94137255248002,0.5
0,C2_only,0.5,9.338955284741283,53.025050288017034,274.30303489522083,31824.710508921326,60,0.1,465,0.775,0,50.0,141.76672865179222,0.5
1,C2_only,0.5,23.33476410725476,60.89568439497452,404.9098667493943,36478.33541398197,43,0.07166666666666667,494,0.8233333333333334,0,50.0,46.34593928401908,0.5
