noise,controller,seed,deadlock_steps,deadlock_rate,nonzero_frac,convergence,final_V,V_0
Student-t(3),C3_raw,13,0,0.0,1.0,1,1.0845625596307458,16.458369577698925
Student-t(3),C3_raw,14,0,0.0,1.0,1,0.8586452319960902,6.12303909372606
Student-t(3),C3_raw,15,0,0.0,1.0,1,2.070448271360189,2.7068794497082544
Student-t(3),C3_raw,16,0,0.0,1.0,1,1.2443101617926104,6.099846602809869
Student-t(3),C3_raw,17,0,0.0,1.0,1,1.0009131783209855,7.31714060470916
Student-t(3),C3_raw,18,0,0.0,1.0,1,1.1578991373054328,5.016410575828713
Student-t(3),C3_raw,19,0,0.0,1.0,1,5.505062388204701,5.996729866025594
Student-t(3),C3_raw,20,0,0.0,1.0,1,1.0367978797360757,3.3917449061348126
Student-t(3),C3_raw,21,0,0.0,1.0,1,1.2533432553014066,12.297378970961482
Student-t(3),C3_raw,22,0,0.0,1.0,1,1.8041582194127477,3.0593028301554046
Student-t(3),C3_raw,23,0,0.0,1.0,1,1.435243800172886,4.544179635421321
Student-t(3),C3_raw,24,0,0.0,1.0,0,2.577696305435221,2.2128806791912536
Student-t(3),C3_raw,25,0,0.0,1.0,0,1.9250721816173622,1.0416709728727993
Student-t(3),C3_raw,26,0,0.0,1.0,1,0.9750323368572821,7.4196048792050915
Student-t(3),C3_raw,27,0,0.0,1.0,1,4.250859150284735,11.50874395745027
Student-t(3),C3_raw,28,0,0.0,1.0,1,1.5237622012349956,3.8622167919406096
Student-t(3),C3_raw,29,0,0.0,1.0,1,0.20629895069403198,1.4369788090581597
Student-t(3),C3_raw,30,0,0.0,1.0,1,2.40301193939055,4.911226613214972
Student-t(3),C3_raw,31,0,0.0,1.0,1,0.25084758248168143,2.210148220317446
Student-t(3),C3_raw,32,0,0.0,1.0,0,0.46021439219116167,0.4163603246102374
Student-t(3),C3_raw,33,0,0.0,1.0,1,0.19688411224542893,1.6003971498252367
Student-t(3),C3_raw,34,0,0.0,1.0,1,2.604947424289102,4.375689993348433
Student-t(3),C3_raw,35,0,0.0,1.0,1,1.343479406560958,11.132984040937426
Student-t(3),C3_raw,36,0,0.0,1.0,1,1.0556307999815653,1.0827455719306436
Student-t(3),C3_raw,37,0,0.0,1.0,0,3.788708061410598,2.037471286976419
Student-t(3),C3_raw,38,0,0.0,1.0,1,0.1995302010516807,2.9714783346232023
Student-t(3),C3_raw,39,0,0.0,1.0,1,1.468719292411373,2.523337561998638
Student-t(1.5),C3_EMA,0,54,0.054,0.946,1,1.397298067463412,5.12543708315857
Student-t(1.5),C3_EMA,1,77,0.077,0.923,1,1.0843208524320047,7.993633240608052
Student-t(1.5),C3_EMA,2,116,0.116,0.884,1,1.0260603769268581,3.90747908108797
Student-t(1.5),C3_EMA,3,22,0.022,0.978,0,3.002189954627361,1.889131240140495
Student-t(1.5),C3_EMA,4,35,0.035,0.965,1,0.31610782441282825,6.77871908310555
Student-t(1.5),C3_EMA,5,46,0.046,0.954,0,34.30624686493459,9.471948142495746
Student-t(1.5),C3_EMA,6,24,0.024,0.976,1,0.38944881445531604,2.348613732858571
