noise,controller,seed,viol_rate,pearson,final_V,auc_V,convergence,deadlock_rate,nonzero_frac
Student-t(3),C3_raw,17,0.5125125125125125,0.6794729591727958,1.6242544467267939,1.3696126062945255,1,0.0,1.0
Student-t(3),C3_raw,18,0.5175175175175175,0.7487552771207812,1.6017255959788665,1.382160246167319,1,0.0,1.0
Student-t(3),C3_raw,19,0.5185185185185185,0.6392122830062492,2.879380371140293,1.2967872386712873,1,0.0,1.0
Student-t(3),C3_raw,20,0.5065065065065065,0.7447639286188561,1.4070783965076428,1.3620291098787203,1,0.0,1.0
Student-t(3),C3_raw,21,0.5085085085085085,0.3323319783740261,0.8142839319976846,1.4182167036153814,1,0.0,1.0
Student-t(3),C3_raw,22,0.5165165165165165,0.7168607796858805,0.6881818857638784,1.4067893992863512,1,0.0,1.0
Student-t(3),C3_raw,23,0.5005005005005005,0.6618496242878515,0.679344576100227,1.3717850511277663,1,0.0,1.0
Student-t(3),C3_raw,24,0.5205205205205206,0.6978070106170291,0.3679231119665046,1.3600689504472971,1,0.0,1.0
Student-t(3),C3_raw,25,0.5145145145145145,0.7053725386625391,1.9346900569957692,1.2780190406551395,0,0.0,1.0
Student-t(3),C3_raw,26,0.5005005005005005,0.7359759429922008,0.4037075370530646,1.4036867487354403,1,0.0,1.0
Student-t(3),C3_raw,27,0.5105105105105106,0.4620886208171228,2.5270601664242864,1.3445810487641765,1,0.0,1.0
Student-t(3),C3_raw,28,0.5135135135135135,0.694204044197029,1.109644100768412,1.3547318937526431,1,0.0,1.0
Student-t(3),C3_raw,29,0.4994994994994995,0.7315624857664443,0.5612755660152124,1.3739597096351284,1,0.0,1.0
Student-t(3),C3_raw,30,0.5315315315315315,0.6814047742254326,0.7096237520913642,1.3381834590665957,1,0.0,1.0
Student-t(3),C3_raw,31,0.5165165165165165,0.7710210388892614,1.7848174436757962,1.393738821585311,0,0.0,1.0
Student-t(3),C3_raw,32,0.5135135135135135,0.7533754432123476,0.779348742157168,1.3844209522879187,0,0.0,1.0
Student-t(3),C3_raw,33,0.4984984984984985,0.7537927597433545,1.532641091650369,1.3451309889023473,1,0.0,1.0
Student-t(3),C3_raw,34,0.5005005005005005,0.7081207207281228,1.4451883346454653,1.4229542851198378,1,0.0,1.0
Student-t(3),C3_raw,35,0.5185185185185185,0.5231169462048576,0.7377111595667379,1.3237991102857483,1,0.0,1.0
Student-t(3),C3_raw,36,0.5145145145145145,0.7444066469004548,0.06215653937832828,1.3076698413146992,1,0.0,1.0
Student-t(3),C3_raw,37,0.5065065065065065,0.6943583589389747,3.400409050223836,1.2919530607998395,0,0.0,1.0
Student-t(3),C3_raw,38,0.5035035035035035,0.6393715146470265,0.9353312885380765,1.3874103105878177,1,0.0,1.0
Student-t(3),C3_raw,39,0.5115115115115115,0.6835735733813537,0.7259192531446674,1.3644758783439657,1,0.0,1.0
Student-t(1.5),C3_EMA,0,0.18518518518518517,0.5918533076818534,16.824668424386303,20.822917622039615,0,0.013,0.987
Student-t(1.5),C3_EMA,1,0.1931931931931932,0.7864597834396185,0.7301161178156294,18.678057143841542,1,0.05,0.95
Student-t(1.5),C3_EMA,2,0.1931931931931932,0.934196424416896,1.1704492595838023,41.036904770366874,1,0.108,0.892
Student-t(1.5),C3_EMA,3,0.14614614614614616,0.7316928033073886,4.781220262678309,34.694613693892315,0,0.1,0.9
Student-t(1.5),C3_EMA,4,0.18218218218218218,0.7727270534677971,15.449792481597116,17.520192580216683,0,0.066,0.934
Student-t(1.5),C3_EMA,5,0.19119119119119118,0.6517099045432193,4.114433480739779,20.61630488472945,1,0.011,0.989
Student-t(1.5),C3_EMA,6,0.16116116116116116,0.658670947845315,0.544959832850773,25.494411796293747,1,0.04,0.96
Student-t(1.5),C3_EMA,7,0.1781781781781782,0.6677254229430419,0.9381812418252449,24.368705330269393,1,0.039,0.961
Student-t(1.5),C3_EMA,8,0.16016016016016016,0.7813904497567218,8.374134336741944,26.567691811327272,0,0.066,0.934
Student-t(1.5),C3_EMA,9,0.17117117117117117,0.7860556367676215,4.7999745067701785,16.53817981862191,0,0.1,0.9
